6.25,-2.8056,8.9545,-61.522,-51.566,-14.451,-90.12,-2.8167,39.506,-330.96,-70.199,-104.73,-35.586,0,0
-2.75,-2.8056,2.6716,5.6848,-64.579,-82.996,-402.53,192.29,379.13,141.4,282.58,-24.51,-26.356,0,0
9.6349,18.894,30.437,22.357,188.26,24.093,-1.2941,333.9,-242.71,72.512,230.49,-16.632,147.19,0,0
-0.75,-11.085,-3.0998,32.076,-161.82,-118.48,-157.28,182.73,-162.29,-18.74,-4.403,157.73,286.51,93.371,77.838
-1.5,-0.96891,-1.2518,3.0407,12.296,-282.42,214.92,95.247,-62.978,157.09,154.36,-31.345,-235,-210.57,-3.5245
-7.5,-16.642,29.654,37.512,155.86,335.73,314.66,-33.336,76.75,404.32,40.484,-10.634,238.55,-0.1887,-2.192
9.5425,0.7395,-17.645,119.92,183.92,201.98,112.29,301.31,311.67,74.475,37.789,-22.752,-32.53,-122.89,20.628
3.25,-11.243,-4.9234,52.601,86.327,-233.97,-257.25,-130.03,-6.8325,78.688,210.96,6.9625,-120.83,-21.291,4.1495
3.3307e-016,-6.6613e-016,-1.5543e-015,1.3323e-015,35.666,73.816,-219.81,-188.87,-39.104,212.85,377.07,-0.65368,5.5568,0,0
-20.5,-2.2745,-22.008,171.23,41.425,89.572,-172.14,369.41,46.94,-59.361,-342.34,-93.3,-11.379,0,0
-1.8651,-30.386,24.725,66.978,-87.053,-154.99,2.6624,-83.675,58.105,-6.1554,-114.61,-333.06,-241.61,0,0
1.2212e-015,-6.6613e-016,-3.3307e-015,3.1086e-015,49.313,-349.33,-69.251,142.39,377.86,-85.22,-137.13,208.51,61.734,0,0
33,11.271,-1.8087,2.5989,62.985,-367.36,-66.706,-194.79,-100.87,-37.323,245.91,-18.019,174.14,87.048,11.975
-1.75,-6.4755,12.83,253.73,-8.799,-18.81,49.013,345.43,610.57,94.132,-347.03,-144.81,118.62,0,0
0,0,0,0,-48.369,-362.54,129.34,-354.41,-105.39,-69.69,-38.942,-98.11,6.5311,0,0
11.25,2.0736,0.86603,4.9462,-35.017,-185.42,216.74,400.39,273.65,249.3,241.52,-22.9,11.395,-93.923,-0.56699
0,0,0,0,-22.508,139.33,279.07,-205.74,-130.23,-387.29,-229.27,-263.3,-109.26,0,0
6.7925,13.994,0.21586,-52.592,-115.9,181.66,-124.24,-15.307,101.2,88.756,-200.74,-213.3,6.3403,0,0
2.4085,-34.232,-25.541,101.86,-273.72,-279.98,372.35,-35.751,117.95,-54.699,-9.9216,30.11,129.28,130.85,-17.75
1.5,0.96891,1.2518,-3.0407,-5.1771,32.18,-106.09,-369.2,188.41,80.356,-16.533,-277.1,-80.063,-178.8,-81
0,0,0,0,24.629,-153.4,26.898,143.1,61.085,-206.4,-292.84,20.873,-26.297,0,0
11.25,6.0933,-20.569,2.9772,44.254,-281.72,-79.706,12.81,436.76,408.6,321,220.38,-41.086,0,0
-6.5,-7.9689,-5.549,22.43,-157.22,-207.82,-146.11,-227.2,316.12,294.43,46.503,0.61019,127.76,183.56,-9.6438
2.75,2.8056,-2.6716,-5.6848,-2.5897,-70.672,89.797,-302.15,-70.068,-236.43,-100.92,-12.472,36.688,49.658,6.8995
-1.75,6.4772,-28.102,-8.004,164.4,346.97,-57.974,-211.95,42.829,190.02,267.78,-120.3,176.92,0,0
-8.75,4.951,-8.0179,-49.97,-99.719,69.139,337.89,80.028,137.1,-24.687,-355.83,-89.929,12.113,0,0
0,0,0,0,29.048,-36.184,237.38,-100.17,103.94,82.307,-155.33,-14.156,-256.02,0,0
